"MunicipalityName","FIPS_ID","Year","Population"
"Fleming",26875,1982,348
"Florence",27040,1982,3172
"Fort Collins",27425,1982,69247
"Fort Lupton",27700,1982,4380
"Fort Morgan",27810,1982,9015
"Fountain",27865,1982,8940
"Fowler",27975,1982,1272
"Fraser",28305,1982,548
"Frederick",28360,1982,916
"Frisco",28690,1982,1313
"Fruita",28745,1982,3416
"Garden City",29185,1982,106
"Genoa",29680,1982,145
"Georgetown",29735,1982,914
"Gilcrest",29955,1982,1091
"Glendale",30340,1982,2572
"Glenwood Springs",30780,1982,5344
"Golden",30835,1982,13227
"Granada",31550,1982,542
"Granby",31605,1982,1046
"Grand Junction",31660,1982,30193
"Grand Lake",31715,1982,410
"Greeley",32155,1982,53235
"Green Mountain Falls",32650,1982,636
"Greenwood Village",33035,1982,6200
"Grover",33310,1982,137
"Gunnison",33640,1982,5699
"Gypsum",33695,1982,1021
"Hartman",34520,1982,110
"Haswell",34740,1982,103
"Haxtun",34960,1982,983
"Hayden",35070,1982,1678
"Hillrose",36610,1982,217
"Holly",37215,1982,962
"Holyoke",37270,1982,2125
"Hooper",37380,1982,75
"Hot Sulphur Springs",37600,1982,416
"Hotchkiss",37545,1982,899
"Hudson",37820,1982,727
"Hugo",37875,1982,722
"Idaho Springs",38370,1982,2070
"Ignacio",38535,1982,739
"Iliff",38590,1982,190
"Jamestown",39195,1982,247
"Johnstown",39855,1982,1550
"Julesburg",39965,1982,1517
"Keenesburg",40185,1982,537
"Kersey",40515,1982,889
"Kim",40570,1982,105
"Kiowa",40790,1982,226
"Kit Carson",41010,1982,284
"Kremmling",41560,1982,1275
"La Jara",42055,1982,834
"La Junta",42110,1982,8343
"La Salle",43605,1982,1898
"La Veta",44100,1982,672
"Lafayette",41835,1982,10685
"Lake City",42330,1982,242
"Lakeside",42495,1982,17
"Lakewood",43000,1982,120889
"Lamar",43110,1982,8031
"Larkspur",43550,1982,162
"Las Animas",43660,1982,2787
"Leadville",44320,1982,3598
"Limon",44980,1982,1737
"Littleton",45255,1982,32384
"Lochbuie",45530,1982,895
"Log Lane Village",45695,1982,714
"Longmont",45970,1982,45723
"Louisville",46355,1982,6282
"Loveland",46465,1982,32616
"Lyons",47070,1982,1232
"Manassa",48060,1982,987
"Mancos",48115,1982,1002
"Manitou Springs",48445,1982,4506
"Manzanola",48500,1982,440
"Marble",48555,1982,36
"Mead",49600,1982,360
"Meeker",49875,1982,2640
"Merino",50040,1982,253
"Milliken",50480,1982,1561
"Minturn",50920,1982,1007
"Moffat",51250,1982,102
"Monte Vista",51635,1982,4156
"Montezuma",51690,1982,28
"Montrose",51745,1982,9149
"Monument",51800,1982,774
"Morrison",52075,1982,503
"Mount Crested Butte",52570,1982,290
"Mountain View",52350,1982,615
"Naturita",53120,1982,793
"Nederland",53175,1982,1333
"New Castle",53395,1982,642
"Northglenn",54330,1982,29946
"Norwood",54880,1982,437
"Nucla",54935,1982,993
"Nunn",55045,1982,286
"Oak Creek",55155,1982,828
"Olathe",55540,1982,1279
"Olney Springs",55705,1982,241
"Ophir",55870,1982,42
"Orchard City",55980,1982,2155
"Ordway",56145,1982,1067
"Otis",56365,1982,521
"Ouray",56420,1982,703
"Ovid",56475,1982,441
"Pagosa Springs",56860,1982,1562
"Palisade",56970,1982,1723
"Palmer Lake",57025,1982,1188
"Paoli",57245,1982,70
"Paonia",57300,1982,1622
"Parachute",57400,1982,950
"Parker",57630,1982,348
"Peetz",58235,1982,195
"Pierce",59005,1982,894
"Pitkin",59830,1982,54
"Platteville",60160,1982,1644
"Poncha Springs",60600,1982,322
"Pritchett",61315,1982,176
"Pueblo",62000,1982,99616
"Ramah",62660,1982,128
"Rangely",62880,1982,2575
"Raymer",63045,1982,87
"Red Cliff",63265,1982,358
"Rico",64090,1982,86
"Ridgway",64200,1982,415
"Rifle",64255,1982,5031
"Rockvale",64970,1982,352
"Rocky Ford",65190,1982,4750
"Romeo",65740,1982,304
"Rye",66895,1982,210
"Saguache",67005,1982,649
"Salida",67280,1982,4966
"San Luis",68105,1982,852
"Sanford",67830,1982,712
"Sawpit",68655,1982,37
"Sedgwick",68930,1982,226
"Seibert",69040,1982,192
"Severance",69150,1982,111
"Sheridan",69645,1982,5281
"Sheridan Lake",69700,1982,88
"Silt",70195,1982,1140
"Silver Cliff",70250,1982,306
"Silver Plume",70360,1982,142
"Silverthorne",70525,1982,1109
"Silverton",70580,1982,1108
"Simla",70635,1982,511
"Snowmass Village",71755,1982,1003
"Springfield",73330,1982,1619
"Starkville",73715,1982,138
